Line #,Project,Description,Designator,Quantity,Manufacturer,Part Number,Purchasing Link
"45","P01-BASE.PcbDoc","IC BUF NON-INVERT 3.6V 20TSSOP","U1, U2","2","Nexperia","74LVC244APW,118","https://www.digikey.com/en/products/detail/nexperia-usa-inc/74LVC244APW-118/763187"
"46","P01-RADIO.PcbDoc, P01-AUDIO.PcbDoc, P01-LEDS.PcbDoc","IC XPND 400KHZ I2C SMBUS 24TSSOP","U1, U2","3","NXP Semiconductors","PCA9555PW,118","https://www.digikey.com/en/products/detail/nxp-usa-inc/PCA9555PW-118/735672"
"47","P01-AUDIO.PcbDoc","IC VREF SERIES 0.15% SOT23-5","U2","1","Maxim","MAX6029EUK33+T","https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX6029EUK33-T/1518987"
"48","P01-RADIO.PcbDoc","IC RF TXRX+MCU BLUETOOTH 48VFQFN","U2","1","Nordic Semiconductor","NRF52810-QFAA-R7","https://www.digikey.com/en/products/detail/nordic-semiconductor-asa/NRF52810-QFAA-R7/7725408"
"49","P01-AUDIO.PcbDoc","IC AMP CLASS AB MONO 14TDFN","U3","1","Maxim","MAX9814ETD+T","https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/MAX9814ETD-T/1703775"
"50","P01-RADIO.PcbDoc","IC GATE AND 1CH 2-INP SOT23-5","U3","1","Texas Instruments","SN74AHC1G08DBVR","https://www.digikey.com/en/products/detail/texas-instruments/SN74AHC1G08DBVR/276735"
"51","P01-AUDIO.PcbDoc","IC AMP CLASS D STEREO 2.8W 20QFN","U4","1","Texas Instruments","TPA2016D2RTJR","https://www.digikey.com/en/products/detail/texas-instruments/TPA2016D2RTJR/2183785"
"52","P01-AUDIO.PcbDoc","IC DAC 12BIT V-OUT 10MSOP","U5","1","Microchip","MCP48FVB22-E/UN","https://www.digikey.com/en/products/detail/microchip-technology/MCP48FVB22-E-UN/5773467"
"53","P01-RADIO.PcbDoc, P01-LEDS.PcbDoc, P01-SERVO.PcbDoc, P01-BASE.PcbDoc, P01-AUDIO.PcbDoc","IC REG LINEAR 3.3V 1A SOT223-4","VR1","5","Texas Instruments","TLV1117LV33DCYR","https://www.digikey.com/en/products/detail/texas-instruments/TLV1117LV33DCYR/2666508"
"54","P01-RADIO.PcbDoc","CRYSTAL 32.0000MHZ 8PF SMD","X1","1","ECS International","ECS-320-8-37CKM","https://www.digikey.com/en/products/detail/ecs-inc/ECS-320-8-37CKM/1693487"
"55","P01-RADIO.PcbDoc","CRYSTAL 32.7680KHZ 9PF SMD","X2","1","ECS International","ECS-.327-9-34QS-TR","https://www.digikey.com/en/products/detail/ecs-inc/ECS-327-9-34QS-TR/6050737"
